step,mass_a,mass_b,mass_diff,clip_low_a,clip_low_b,clip_high_a,clip_high_b,max_abs,max_rel,l2_abs
40,9.7080073280433776e-01,9.7080073280433854e-01,7.772e-16,0,0,568,568,1.337819e-13,1.337821e-13,4.223203e-15
80,9.7080073280433843e-01,9.7080073280433798e-01,-4.441e-16,0,0,292,292,4.540812e-14,4.547595e-14,3.278549e-15
120,9.7080073280433921e-01,9.7080073280433921e-01,0.000e+00,0,0,165,165,1.759703e-13,1.759704e-13,1.297550e-14
160,9.7080073280433965e-01,9.7080073280433954e-01,-1.110e-16,0,0,87,87,1.083578e-12,1.139281e-12,4.840010e-14
200,9.7080073280434009e-01,9.7080073280433876e-01,-1.332e-15,0,0,0,0,1.199996e-11,1.203918e-11,2.812222e-13
240,9.7080073280434065e-01,9.7080073280433843e-01,-2.220e-15,0,0,0,0,9.334478e-11,9.394393e-11,2.954799e-12
280,9.7080073280433932e-01,9.7080073280433876e-01,-5.551e-16,0,0,0,0,2.651401e-11,2.653152e-11,1.299780e-12
320,9.7080073280433932e-01,9.7080073280433876e-01,-5.551e-16,0,0,0,0,4.177536e-11,4.180523e-11,2.146838e-12
360,9.7080073280433954e-01,9.7080073280433887e-01,-6.661e-16,0,0,0,0,6.166712e-11,6.167269e-11,4.012863e-12
400,9.7080073280433932e-01,9.7080073280433965e-01,3.331e-16,0,0,0,0,4.889487e-10,4.889487e-10,2.067443e-11
440,9.7080073280433887e-01,9.7080073280433976e-01,8.882e-16,0,0,0,0,1.107753e-09,1.107753e-09,6.599553e-11
480,9.7080073280433865e-01,9.7080073280433954e-01,8.882e-16,0,0,0,0,1.659156e-08,1.659157e-08,4.527399e-10
520,9.7080073280433798e-01,9.7080073280433965e-01,1.665e-15,0,0,0,0,1.233996e-08,1.234025e-08,3.685378e-10
560,9.7080073280433687e-01,9.7080073280433976e-01,2.887e-15,0,0,0,0,4.361499e-07,4.362319e-07,1.064089e-08
600,9.7080073280433676e-01,9.7080073280433932e-01,2.554e-15,0,0,0,0,2.542165e-06,2.543992e-06,9.304420e-08
640,9.7080073280433665e-01,9.7080073280433909e-01,2.442e-15,0,0,0,0,1.405350e-05,1.406749e-05,3.795411e-07
680,9.7080073280433687e-01,9.7080073280433909e-01,2.220e-15,0,0,0,0,4.561692e-05,4.613397e-05,1.274131e-06
720,9.7080073280433732e-01,9.7080073280433932e-01,1.998e-15,0,0,0,0,3.825881e-04,3.936402e-04,2.013843e-05
760,9.7080073280433865e-01,9.7080073280433843e-01,-2.220e-16,0,0,0,0,3.126337e-03,3.358498e-03,1.303127e-04
800,9.7080073280433821e-01,9.7080073280433876e-01,5.551e-16,0,0,0,0,2.559577e-02,2.793118e-02,7.178471e-04
